@relation 'all-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,4-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,15'

@attribute alejado numeric
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,ffdd93d674719bbc,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,c43e0a23ab297d87,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute app_foreground {com.whatsapp,com.android.chrome,org.pol.jmgo.qoesurveyor,com.android.vending,com.twitter.android,com.netflix.mediaclient,android,com.sec.android.app.launcher,com.android.settings,com.google.android.youtube,com.android.launcher,com.itau.latam.py.tarjetas,com.internet.speed.meter.lite,com.facebook.lite,com.facebook.katana,com.android.vpndialogs,com.samsung.android.email.provider,com.zerodesktop.appdetox.qualitytime,com.juvomobileinc.tigoshop.py,com.android.systemui,org.telegram.plus,com.sec.android.app.sbrowser,com.spotify.music,com.facebook.moments,com.ACP.ClinicalGuidelines,py.com.abc.abctv,uk.co.bbc.mundo,org.khanacademy.android,com.adobe.psmobile,com.samsung.android.incallui,com.scdgroup.app.englishspeakvocal,com.google.android.googlequicksearchbox,com.google.android.apps.maps,jp.konami.duellinks,com.lge.launcher2,com.huawei.android.launcher,com.google.android.apps.docs,com.samsung.android.spay,com.adobe.reader,com.garmin.android.apps.connectmobile,com.android.incallui,com.sonyericsson.home,com.waze,com.musixmatch.android.lyrify,net.oneplus.launcher,com.google.android.gms,com.android.phone,com.jaraxa.todocoleccion,com.supercell.clashofclans,com.sonelli.juicessh,com.instagram.android,py.com.itau.tokpag,org.mozilla.firefox,com.android.launcher3,com.amazon.avod.thirdpartyclient}
@attribute mos {1,2,3,4,5}

@data
57815,59.333333,30.566667,1861818.181818,c8afba09e53d8531,200,2,4,37.5,9,1,9,?,3.4,2,330,23,?,43.333333,com.sec.android.app.launcher,5
127857,59,31.3,896.291157,c8afba09e53d8531,254.333333,2,4,63.333333,9,2,10,?,3.4,2,301,23,?,42.25,com.sec.android.app.launcher,5
60000,16,29.7,0,90a72847e24050d1,35,1,6,19,9,1,0,?,?,1,372,24,?,42,?,5
12591,?,?,0,22dee25d96b05f3e,?,?,4,?,?,1,0,?,?,1,?,23,?,?,?,5
16347,?,?,0,22dee25d96b05f3e,?,?,4,?,?,2,1,?,?,1,?,23,?,?,?,5
61134,47.333333,43.633333,0,22dee25d96b05f3e,?,?,4,?,?,3,2,?,3.4,1,310.666667,23,?,55.333333,?,5
76637,47.25,43.65,0,22dee25d96b05f3e,?,?,4,?,?,4,3,?,3.4,1,307.5,23,?,55.5,?,5
154452,47,43.7,77122.64795,22dee25d96b05f3e,?,?,4,?,?,5,4,5,3.4,1,340,23,?,54.666667,?,5
156608,47,43.7,77122.64795,22dee25d96b05f3e,?,?,4,?,?,6,5,5,3.4,1,355.5,23,?,54,?,5
158126,47,43.7,77122.64795,22dee25d96b05f3e,?,?,4,?,?,7,6,5,3.4,1,355.5,23,?,54,?,5
159541,47,43.7,77122.64795,22dee25d96b05f3e,?,?,4,?,?,8,7,5,3.4,1,355.5,23,?,54,?,5
250706,45.75,44.275,3346690.953248,22dee25d96b05f3e,663,1,4,861,9,9,8,5,3.4,1,296.75,23,?,57,com.android.settings,5
326554,44.666667,44.6,22966666.666667,22dee25d96b05f3e,556.5,1,4,322,9,10,9,5,3.4,1,281.333333,23,?,56.666667,com.google.android.youtube,5
382041,44,44.733333,2324723.247232,22dee25d96b05f3e,126.333333,1,4,11,9,11,10,5,3.4,1,307.666667,23,?,56.333333,com.google.android.youtube,5
485523,43,44.466667,2739299.610895,22dee25d96b05f3e,197.666667,1.333333,4,15.333333,9,12,11,5,?,1,320,23,?,55,com.google.android.youtube,5
506729,43,44.466667,0,22dee25d96b05f3e,229.666667,1.333333,4,12.666667,9,13,12,5,?,1,308.333333,23,?,55,com.google.android.youtube,5
556041,42.666667,44.333333,0,22dee25d96b05f3e,100,1,4,10.333333,9,14,13,5,?,1,390.666667,23,?,53.666667,com.whatsapp,5
610341,42,44.333333,0,22dee25d96b05f3e,98.5,1,4,9.5,9,15,14,5,?,1,319.333333,23,?,53.333333,org.pol.jmgo.qoesurveyor,5
188868,?,?,37306.378635,68af49bcc059f325,105.4,2,8,47.2,8,1,0,?,4,3,1283,25,4,0.3225,?,2
458745,?,?,1449.094316,68af49bcc059f325,84.666667,2,8,42.666667,8,1,1,?,4,2,1257.666667,25,4,0.320333,?,2
479213,?,?,233839.235526,68af49bcc059f325,111.571429,2,8,45.428571,8,1,2,?,4,1,1275.333333,25,2,0.298667,?,3
209984,?,?,15726495.726496,8e16d706819d2e0c,?,?,3,?,?,1,0,?,?,15,?,22,?,?,?,3
209984,?,?,2659600.096362,8e16d706819d2e0c,?,?,3,?,?,1,1,?,?,15,?,22,?,?,?,3
210791,?,?,3656786.271451,8e16d706819d2e0c,?,?,3,?,?,3,2,?,?,15,?,22,?,?,?,4
210791,?,?,22622950.819672,8e16d706819d2e0c,?,?,3,?,?,3,3,?,?,15,?,22,?,?,?,4
211692,?,?,2273224.043716,8e16d706819d2e0c,?,?,3,?,?,5,4,?,?,15,?,22,?,?,?,4
211692,?,?,2273224.043716,8e16d706819d2e0c,?,?,3,?,?,5,5,?,?,15,?,22,?,?,?,4
212683,?,?,321818.976826,8e16d706819d2e0c,?,?,3,?,?,7,6,?,?,15,?,22,?,?,?,2
212683,?,?,321818.976826,8e16d706819d2e0c,?,?,3,?,?,7,7,?,?,15,?,22,?,?,?,2
213755,?,?,321818.976826,8e16d706819d2e0c,?,?,3,?,?,9,8,?,?,15,?,22,?,?,?,2
213755,?,?,12474576.271186,8e16d706819d2e0c,?,?,3,?,?,9,9,?,?,15,?,22,?,?,?,2
215731,?,?,13398058.252427,8e16d706819d2e0c,?,?,3,?,?,11,10,?,?,15,?,22,?,?,?,1
215731,?,?,13398058.252427,8e16d706819d2e0c,?,?,3,?,?,11,11,?,?,15,?,22,?,?,?,1
216460,?,?,61885.142521,8e16d706819d2e0c,?,?,3,?,?,13,12,?,?,15,?,22,?,?,?,1
216460,?,?,45061224.489796,8e16d706819d2e0c,?,?,3,?,?,13,13,?,?,15,?,22,?,?,?,1
217272,?,?,187118644.067797,8e16d706819d2e0c,?,?,3,?,?,15,14,?,?,15,?,22,?,?,?,2
217272,?,?,187118644.067797,8e16d706819d2e0c,?,?,3,?,?,15,15,?,?,15,?,22,?,?,?,2
75917,13,37.4,5546.702947,8e16d706819d2e0c,29,1,3,11,10,1,16,4.5,?,14,226,22,?,52,com.google.android.youtube,4
113666,13,37.4,46042.30011,8e16d706819d2e0c,28.5,1,3,13.5,10,2,17,4.5,?,14,231,22,?,52,com.google.android.youtube,5
348604,15,38.1,0,8e16d706819d2e0c,33,1,3,15,10,1,18,?,3,3,825,22,4,58,com.google.android.youtube,5
388430,15,38.65,0,8e16d706819d2e0c,36.5,1,3,13,10,2,19,?,3,3,836,22,3,57.5,com.google.android.youtube,5
430874,15,38.6,0,8e16d706819d2e0c,28,1,3,12.666667,10,3,20,?,3,3,826.666667,22,3.333333,55.333333,com.google.android.youtube,4
510069,15,38.4,0,8e16d706819d2e0c,31.5,1,3,11,10,4,21,?,3,3,797,22,4,54,com.google.android.youtube,4
539903,14.5,38.2,0,8e16d706819d2e0c,41,1,3,11,10,5,22,?,3,3,783.5,22,3.5,52,com.google.android.youtube,4
562523,14,38,0,8e16d706819d2e0c,32,1,3,15,10,6,23,?,3,3,780.5,22,3,50.5,com.google.android.youtube,5
610715,14.5,38,0,8e16d706819d2e0c,28.5,1,3,12,10,7,24,?,3,3,803,22,3.5,51,com.google.android.youtube,5
650875,15,38.4,0,8e16d706819d2e0c,25.5,1,3,11,10,8,25,?,3,3,822,22,2,56,com.google.android.youtube,5
692558,15,38.55,0,8e16d706819d2e0c,27.5,1,3,11,10,9,26,?,3,3,811,22,2,55,com.google.android.youtube,3
732532,15,38.5,0,8e16d706819d2e0c,30.5,1,3,10.5,10,10,27,?,3,3,808,22,3,52,com.google.android.youtube,4
769948,15,38.55,0,8e16d706819d2e0c,32.5,1,3,10,10,11,28,?,3,3,805.5,22,2.5,51.5,com.google.android.youtube,5
138822,76,31.6,2736842.105263,8e16d706819d2e0c,34.666667,1,3,33.666667,10,1,29,?,3,13,928.5,22,4,39,com.android.launcher,4
183906,77,32.45,458.734676,8e16d706819d2e0c,25.333333,1,3,34.666667,10,2,30,?,3,13,913,22,4,41,com.itau.latam.py.tarjetas,4
229754,77,32.9,2762135.92233,8e16d706819d2e0c,30,1,3,14.666667,10,3,31,?,3,13,908,22,4,42,com.android.launcher,5
275070,77,33.65,520.327754,8e16d706819d2e0c,48,1,3,23.333333,10,4,32,?,3,13,910,22,3.5,42,com.android.launcher,3
334943,77,34.15,1512727.272727,8e16d706819d2e0c,50.5,1,3,14,10,5,33,?,3,13,901.5,22,4,42.5,com.android.launcher,5
380268,77,34.3,507.79164,8e16d706819d2e0c,43.666667,1,3,15.666667,10,6,34,?,3,13,909.5,22,3,42.5,com.android.launcher,3
425372,77,34.05,98.396772,8e16d706819d2e0c,39.666667,1,3,15.666667,10,7,35,?,3,13,909.5,22,2.5,42.5,com.android.launcher,4
472551,77,34,127.83135,8e16d706819d2e0c,39.333333,1,3,30,10,8,36,?,3,13,907.666667,22,3,42,com.android.launcher,5
561191,77,33.966667,3645.849157,8e16d706819d2e0c,31,1,3,14.333333,10,9,37,?,3,13,906,22,2,42,com.android.launcher,5
606482,77,33.833333,936.812029,8e16d706819d2e0c,44.666667,1,3,13.333333,10,10,38,?,3,13,904.333333,22,2,42,com.android.launcher,4
95545,78,33.933333,622.159453,8e16d706819d2e0c,29,1,3,66,10,1,39,?,3,7,901,22,2,42.333333,com.android.launcher,4
1048912,?,?,786885.245902,8e16d706819d2e0c,?,?,3,?,?,2,40,?,?,7,?,22,?,?,?,3
1049267,?,?,3105263.157895,8e16d706819d2e0c,?,?,3,?,?,3,41,?,?,7,?,22,?,?,?,5
63418,85,33.85,2047619.047619,8e16d706819d2e0c,22.5,1,3,11.5,10,1,42,3.4,3,2,892.5,22,4,42.5,com.android.launcher,5
47586,71,36.05,599000.217344,8e16d706819d2e0c,27.5,1,3,18.5,10,1,43,3,3,4,517,22,3,49,com.google.android.youtube,5
93471,71,36.6,60240437.15847,8e16d706819d2e0c,31,1,3,33,10,2,44,3,3,4,513,22,2.666667,49.333333,com.google.android.youtube,5
139413,70.666667,36.966667,3541278.509476,8e16d706819d2e0c,25.666667,1,3,11,10,3,45,3,3,4,537.666667,22,3.333333,50,com.google.android.youtube,4
228287,69.5,38.425,0,8e16d706819d2e0c,24.333333,1,3,13.333333,10,4,46,3,3,4,567,22,3.5,53,com.google.android.youtube,3
273435,68.666667,37.966667,0,8e16d706819d2e0c,34,1,3,12.75,10,5,47,3,3,4,540,22,3.666667,50.666667,com.google.android.youtube,4
314970,67.333333,39.1,0,8e16d706819d2e0c,27,1,3,11.666667,10,6,48,3,3,4,544.666667,22,3.333333,55.666667,com.google.android.youtube,5
360421,67,39.525,0,8e16d706819d2e0c,40.333333,1,3,12.166667,10,7,49,3,3,4,532,22,3.666667,56.75,com.google.android.youtube,5
406294,66,39.533333,0,8e16d706819d2e0c,45.666667,1,3,11.333333,10,8,50,3,3,4,515,22,4,55.333333,com.google.android.youtube,4
489125,64,38.65,0,8e16d706819d2e0c,56.333333,1,3,18.666667,10,9,51,3,3,4,570.5,22,3,49.5,com.google.android.youtube,3
490006,64,38.65,0,8e16d706819d2e0c,56.333333,1,3,18.666667,10,10,52,3,3,4,570.5,22,3,49.5,com.google.android.youtube,4
12503,?,?,470588.235294,8e16d706819d2e0c,?,?,3,?,?,1,53,4,?,1,?,22,?,?,?,3
13409,?,?,629095.674967,8e16d706819d2e0c,?,?,3,?,?,2,54,4,?,1,?,22,?,?,?,4
14584,?,?,629095.674967,8e16d706819d2e0c,?,?,3,?,?,3,55,4,?,1,?,22,?,?,?,2
56920,95.5,32.15,629095.674967,8e16d706819d2e0c,19,1,3,12,10,4,56,4,?,1,246.5,22,?,43.5,com.android.launcher,4
38342,19,31.55,0,8e16d706819d2e0c,22,1,3,13,10,1,57,5,3,9,427.5,22,3,37,com.android.launcher,3
15837,17,32.45,17160.834567,8e16d706819d2e0c,27.666667,1,3,98.333333,7.333333,1,58,5,3.358621,10,355.5,22,3.25,40.5,com.android.launcher,2
16754,17,32.45,23913.543343,8e16d706819d2e0c,27.666667,1,3,98.333333,7.333333,2,59,5,3.358621,10,355.5,22,3.25,40.5,com.android.launcher,3
47525,15,35,30337.805298,8e16d706819d2e0c,92.333333,1,3,91.666667,17,1,60,5,3.322222,8,352,22,3,49.5,org.pol.jmgo.qoesurveyor,1
75157,15,35.1,76190.47619,8e16d706819d2e0c,92.333333,1,3,103.333333,17,2,61,5,3.32,8,355.333333,22,3,49,org.pol.jmgo.qoesurveyor,2
92433,15,35.3,7713.321549,8e16d706819d2e0c,79,1,3,99,17,3,62,5,3.4,8,342,22,3,48,com.android.launcher,2
138320,13,35.55,2269.042228,8e16d706819d2e0c,412.5,1,3,511,17,4,63,5,3.302703,8,333,22,2.5,47,com.android.launcher,2
208272,10.666667,36.1,34854460.093897,8e16d706819d2e0c,931,1,3,100.5,17,5,64,5,3.290446,8,328.333333,22,3.666667,48.333333,com.google.android.youtube,3
232526,10,36.6,6268.440563,8e16d706819d2e0c,324.5,1,3,535.5,17,6,65,5,3.297345,8,336,22,4,49,com.google.android.youtube,4
275016,9.333333,36.5,2983616.324099,8e16d706819d2e0c,341.333333,1,3,187,17,7,66,5,3.28642,8,334.666667,22,4,47.666667,com.google.android.youtube,5
320871,9,35.5,757.667419,8e16d706819d2e0c,718.5,1,3,214.5,17,8,67,5,3.254545,8,327.5,22,1.5,46.5,org.pol.jmgo.qoesurveyor,1
365066,12.5,35.3,2403755.868545,8e16d706819d2e0c,577.333333,1,3,259.333333,17,9,68,5,3.302703,8,326.5,22,3,45,com.android.launcher,5
412732,13,35.05,4521739.130435,8e16d706819d2e0c,284,1,3,89.666667,17,10,69,5,3.318519,8,322,22,3,46.5,com.android.launcher,1
465057,14,35.35,1868.730345,8e16d706819d2e0c,397.5,1,3,340,17,11,70,5,3,8,317,22,3.5,46,com.android.launcher,5
501611,15,36,2334.014616,8e16d706819d2e0c,383,1,3,327.666667,17,12,71,5,3,8,313,22,3.5,45,com.android.launcher,1
555105,16,36.366667,700.927014,8e16d706819d2e0c,380,1,3,346,17,13,72,?,3,8,312.333333,22,4,46.333333,com.android.launcher,1
600607,16,36.8,1241791.044776,8e16d706819d2e0c,593.666667,1,3,346.666667,17,14,73,?,3,8,310,22,4,45.333333,com.android.launcher,4
54513,99,39.2,175109.638437,8e16d706819d2e0c,91.333333,1,3,85.666667,17,1,74,3.4,3.346667,6,845.333333,22,2.666667,56.666667,com.google.android.youtube,3
104339,99,39.666667,10630665.380906,8e16d706819d2e0c,81.5,1,3,81.5,17,2,75,3.4,3.285714,6,836,22,2.666667,55.666667,com.google.android.youtube,5
50500,98,39.3,2315479.941189,8e16d706819d2e0c,81.666667,1,3,89,17,1,76,3.5,3.333333,5,803.333333,22,3,55.333333,org.pol.jmgo.qoesurveyor,5
95405,98,39.4,1943925.233645,8e16d706819d2e0c,301,1,3,85,17,2,77,3.5,3.309091,5,809,22,1.5,52.333333,com.android.launcher,2
140675,98.5,39.1,11530516.431925,8e16d706819d2e0c,389.333333,1,3,265.666667,17,3,78,3.5,3.355556,5,809,22,?,50.5,com.android.launcher,4
60000,?,?,1725.452681,7bf44203a040cdc1,271.666667,2,4,413,9,1,0,?,3.4,1,225.5,23,?,?,org.pol.jmgo.qoesurveyor,3
118404,?,?,0,7bf44203a040cdc1,?,?,4,?,?,2,1,?,3.4,1,?,23,?,?,?,4
173966,?,?,0,7bf44203a040cdc1,?,?,4,?,?,3,2,?,3.4,1,?,23,?,?,?,4
228990,?,?,0,7bf44203a040cdc1,?,?,4,?,?,4,3,?,3.4,1,?,23,?,?,?,5
284379,?,?,0,7bf44203a040cdc1,?,?,4,?,?,5,4,?,3.4,1,?,23,?,?,?,5
341637,?,?,0,7bf44203a040cdc1,?,?,4,?,?,6,5,?,3.4,1,?,23,?,?,?,5
394307,?,?,0,7bf44203a040cdc1,?,?,4,?,?,7,6,?,3.4,1,?,23,?,?,?,4
444133,?,?,0,7bf44203a040cdc1,?,?,4,?,?,8,7,?,3.4,1,?,23,?,?,?,5
63958,?,?,21817.066173,acf1f4860469c6fd,368.666667,1,8,78.666667,17,1,0,5,3.4,1,602,25,?,40.348667,com.internet.speed.meter.lite,5
68097,?,?,6495.212844,94693d24cc813c3f,2964.5,3,7,107.5,9,1,0,3,3.485714,1,538,23,?,30.125,?,3
60883,24,29.166667,19436619.71831,21499054c7994fc4,281.333333,2,6,53.333333,9,1,0,?,3.4,1,790.666667,23,?,53.666667,?,5
115205,23.666667,29.466667,28091603.053435,21499054c7994fc4,200,2,6,53,9,2,1,?,3.5,1,708,23,?,47.333333,?,5
170978,23,29.866667,248844.810098,21499054c7994fc4,332.5,2,6,254.25,9,3,2,?,?,1,672.666667,23,?,53.333333,?,5
60462,?,?,1794.893379,7b3d12955096c795,1948,2,5,398.5,9,1,0,?,4,3,404,25,4,34.333333,org.pol.jmgo.qoesurveyor,5
114769,?,?,56533333.333333,7b3d12955096c795,336.333333,2,5,822.666667,9,2,1,?,4,3,410,25,4,34.7,org.pol.jmgo.qoesurveyor,3
169357,?,?,99459459.459459,7b3d12955096c795,2479.5,2,5,818.5,9,3,2,?,4,3,383,25,4,35.366667,com.google.android.youtube,4
227211,?,?,2521212.121212,7b3d12955096c795,130,2,5,39,9,4,3,?,4,3,388.333333,25,4,35.7,com.whatsapp,4
284162,?,?,0,7b3d12955096c795,103.5,2,5,40.5,9,5,4,?,4,3,350.333333,25,4,36,com.whatsapp,5
344077,?,?,0,7b3d12955096c795,72,2,5,21,9,6,5,?,4,3,360,25,4,36.2,com.facebook.lite,5
400121,?,?,0,7b3d12955096c795,557.25,2,5,351,9,7,6,?,4,3,436.75,25,?,36.85,com.facebook.lite,5
63686,?,?,138803.837518,7b3d12955096c795,89,2,5,17,9,1,7,4,4,4,416,25,4,31.466667,com.android.chrome,3
331376,?,?,0,7b3d12955096c795,68,2,5,43.333333,9,2,8,4,4,4,288,25,4,34.7,org.pol.jmgo.qoesurveyor,5
338829,?,?,0,7b3d12955096c795,68,2,5,43.333333,9,3,9,4,4,4,309,25,4,34.7,org.pol.jmgo.qoesurveyor,4
396265,?,?,0,7b3d12955096c795,84.333333,2,5,32.666667,9,4,10,4,4,4,384,25,4,35.4,org.pol.jmgo.qoesurveyor,4
58958,?,?,2961325.966851,7b3d12955096c795,250,2,5,41.333333,9,1,11,?,4,2,403.333333,25,4,30.533333,com.android.chrome,5
130003,?,?,13398058.252427,7b3d12955096c795,77.666667,2,5,43.666667,9,2,12,?,4,2,399.5,25,4,31.525,com.android.chrome,5
