@relation '1t_2ri-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,17-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute alejado numeric
@attribute app_foreground {com.whatsapp,org.pol.jmgo.qoesurveyor,com.internet.speed.meter.lite,com.netflix.mediaclient,com.sec.android.app.launcher,com.android.vpndialogs,com.juvomobileinc.tigoshop.py,com.google.android.youtube,com.lge.launcher2,com.huawei.android.launcher,com.samsung.android.spay,com.adobe.reader,com.android.vending,com.android.settings,android,com.google.android.apps.docs,com.android.launcher3}
@attribute battery_l numeric
@attribute battery_t numeric
@attribute bw numeric
@attribute devid {63958117e9438e16,2440f9791015c9aa,c8afba09e53d8531,90a72847e24050d1,22dee25d96b05f3e,68af49bcc059f325,8e16d706819d2e0c,7bf44203a040cdc1,acf1f4860469c6fd,94693d24cc813c3f,21499054c7994fc4,7b3d12955096c795,e2f3a59016564a22,da864a689e433b5e,751666ecdd98bfd3,c4a9b97bec0deec7,11d70c1436d1ce27,4261a8320ddd09d0,2e9b9b3b97476bf5,1d966fc8f0e98430,9f174fc0bd3480a6,d88a327ce250630,9c19bb5d04be923e,790c227141314780,bbe3002f6e378eed,e64bbee157aededc,4192432e1cf42d52,6e85b338913ae764,d554e3b29fe24a3b,c35c6393398f7068,4c3dfa2cea50e9bb,332d672c51091609,61d848e7503b5852,867fe59be043d779,a1f8f29e35209a42,4504da30b01769b7,7e4cfd066dafa944,9de8b4b98c575ea5,5a92d851bc704d,a6fb86ca165ca918,65e49509039eb913,247e4508ec4521f9,6c3fa7f635a073f5,7caeb732fb3ad6af,344404a75543aaf0,0264ea70c8976793,3c66f51dbc94d163,dcceb1b848daf324,6f2a6c95c065c7a3,f25d48f8931ef23f,bd016d8f3093b6a4,867287031950897,a32d3af596578938,81410329db99223d,2f41118c2aee66ae,a208a7c4a26d8df7,d71847dfd6b46fcd}
@attribute df_delay numeric
@attribute df_saltos numeric
@attribute ds numeric
@attribute dv_delay numeric
@attribute dv_saltos numeric
@attribute indice_en_prueba numeric
@attribute indice_intervalo numeric
@attribute mood numeric
@attribute ns numeric
@attribute prueba_nro numeric
@attribute ram numeric
@attribute sdk numeric
@attribute st numeric
@attribute t_cpu numeric
@attribute mos {1,2,3,4,5}

@data
86051,com.juvomobileinc.tigoshop.py,97,26.833333,0.000001,11d70c1436d1ce27,217,2,6,95.666667,8,1,0,3.899647,4,3,495.333333,24,2,44.666667,5
217179,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,4261a8320ddd09d0,251.731707,1.741463,6,86.215854,10.865854,1,0,5,4,1,164.25,22,3.227273,35,5
25892,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,2e9b9b3b97476bf5,251.731707,1.741463,8,86.215854,10.865854,1,0,3.357143,3.793097,1,1561,26,3.227273,32.7,3
87438,com.google.android.youtube,59.634409,29.957065,0.00009,1d966fc8f0e98430,84.333333,2,8,53.333333,8,1,6,4,4,3,810,23,3.227273,40.848667,5
33514,org.pol.jmgo.qoesurveyor,46,32.2,0,9f174fc0bd3480a6,251.731707,1.741463,2,86.215854,10.865854,1,0,3.899647,4,1,274,22,3.227273,32.2,5
60000,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,d88a327ce250630,251.731707,1.741463,7,86.215854,10.865854,1,66,3.899647,3.793097,3,770.21942,24,3.227273,37.16177,5
145956,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,9c19bb5d04be923e,251.731707,1.741463,6,86.215854,10.865854,1,6,3.899647,3.793097,2,770.21942,24,3.227273,37.16177,5
51722,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,790c227141314780,251.731707,1.741463,7,86.215854,10.865854,1,22,3.899647,3.793097,1,770.21942,22,3.227273,37.16177,5
103493,com.lge.launcher2,98,27,0.000001,bbe3002f6e378eed,506.666667,1,6,209.666667,17,1,0,3,3,1,235,23,3.227273,27.2915,2
60409,com.huawei.android.launcher,59.634409,29.957065,0.000015,e64bbee157aededc,36.333333,2,8,21,9,1,0,3.899647,4,1,1149.333333,26,4,33.007333,3
57626,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0.000004,4192432e1cf42d52,251.731707,1.741463,7,86.215854,10.865854,1,0,3.899647,3.488889,1,770.21942,21,3.227273,37.16177,5
64955,com.samsung.android.spay,42,24.6,0.000001,6e85b338913ae764,83.666667,2,7,91.666667,8,1,0,3.899647,4,3,563.666667,24,3,33,5
70470,org.pol.jmgo.qoesurveyor,6,28.566667,0.000033,d554e3b29fe24a3b,121,2,5,41.666667,9,1,2,3.5,4,2,265.333333,23,3.227273,49,2
118030,com.google.android.youtube,19.666667,33.166667,0.000053,c35c6393398f7068,153.5,2,6,30.5,9,1,0,5,4,1,460.666667,24,3,57,5
47080,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0.000177,4c3dfa2cea50e9bb,17,1,8,11,10,1,13,3.899647,3.355556,4,1312.666667,26,3.227273,27.233333,1
62986,org.pol.jmgo.qoesurveyor,21,20.7,0.000001,332d672c51091609,115,1,6,19,10,1,0,3,3.5,1,412.666667,24,4,33,5
57039,com.google.android.youtube,54,31.6,0.000002,61d848e7503b5852,69,2,6,29.5,9,1,14,3.899647,4,3,490.666667,24,2,39,4
61617,com.adobe.reader,22,27.366667,0.000071,867fe59be043d779,153,2,5,147,9,1,0,3.899647,3.371429,1,177,21,3.227273,48,5
60145,org.pol.jmgo.qoesurveyor,57,31.7,0.000003,a1f8f29e35209a42,97.666667,2,8,14.666667,9,1,0,3.666667,4,1,358.333333,24,4,31.083333,5
14822,org.pol.jmgo.qoesurveyor,82,27,0,4504da30b01769b7,251.731707,1.741463,6,86.215854,10.865854,1,0,5,3.793097,2,187,23,3.227273,27,5
113620,org.pol.jmgo.qoesurveyor,75,28.4,0.000001,7e4cfd066dafa944,118.666667,2,6,58,8,1,0,3,4,1,534,24,3,41.666667,5
97539,com.android.vending,100,32.766667,0,9de8b4b98c575ea5,125.333333,2,7,44,9,1,0,4,4,1,764.333333,24,4,32.766667,5
60440,com.android.settings,59.666667,38.766667,0.000021,5a92d851bc704d,292.666667,2,6,221.666667,8,1,0,4.5,3.352941,1,429.666667,22,4,56.333333,5
64828,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0.000021,a6fb86ca165ca918,74.5,1,7,70,17,1,0,4,4,1,624.333333,25,2,0.478333,3
60000,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,65e49509039eb913,251.731707,1.741463,7,86.215854,10.865854,1,0,4,3.793097,1,770.21942,24,3.227273,37.16177,2
29667,org.pol.jmgo.qoesurveyor,80,30.144,0.000001,247e4508ec4521f9,40,1,9,66,17,1,17,4,4,6,1140.76,26,2,30.144,4
60000,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,6c3fa7f635a073f5,251.731707,1.741463,9,86.215854,10.865854,1,1,3.166667,3.793097,2,770.21942,27,3.227273,37.16177,3
59327,com.sec.android.app.launcher,28.333333,31.1,0.000045,7caeb732fb3ad6af,143.666667,1,5,97.333333,17,1,18,3.899647,4,3,427.666667,23,3.227273,44.466667,5
28633791,org.pol.jmgo.qoesurveyor,89.333333,40.133333,0.000004,344404a75543aaf0,83.333333,1,6.298246,102.666667,17,1,32,5,3.4,6,870,23.859649,3.227273,63,4
60598,com.google.android.youtube,59,32.4,0.000002,0264ea70c8976793,251.731707,1.741463,9,86.215854,10.865854,1,0,3.899647,4,1,3182,27,3,32.4,3
60000,com.android.vpndialogs,83,30.233333,0,3c66f51dbc94d163,74.5,2,9,37.5,9,1,0,4,4,1,2103,26,4,39.166667,3
414589,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,dcceb1b848daf324,251.731707,1.741463,4,86.215854,10.865854,1,0,2.5,3.793097,1,770.21942,23,3.227273,37.16177,3
73666,com.android.vending,59.634409,29.957065,0,6f2a6c95c065c7a3,103.333333,2,3,52.333333,8,1,0,5,4,1,750,24,4,37.333333,2
50582,android,76,23.65,0.000041,f25d48f8931ef23f,32.5,1,6,24.5,10,1,15,3.899647,4,3,316,24,2,31,3
63864,com.google.android.apps.docs,76,27.7,0.000176,bd016d8f3093b6a4,136,2,7,54,9,1,0,3.899647,4,1,840,23,3.227273,52,5
33733,com.google.android.youtube,69,28.7,0,867287031950897,75,2,9,41,9,1,0,3.899647,3.793097,3,3073,27,3.227273,28.7,3
57983,com.android.launcher3,59.634409,29.957065,0.000001,a32d3af596578938,52.333333,1,8,70.333333,17,1,20,3.899647,4,1,1244,26,3,34.4,3
61586,org.pol.jmgo.qoesurveyor,26.333333,27.7,0.00002,81410329db99223d,75.333333,2,5,58.333333,17,1,6,3,4,1,440.333333,23,3.227273,39.433333,5
60000,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,2f41118c2aee66ae,251.731707,1.741463,4,86.215854,10.865854,1,1,3.899647,3.793097,2,770.21942,23,3.227273,37.16177,5
124186,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0.000646,a208a7c4a26d8df7,91.5,2,8,32.5,9,1,0,3.899647,4,1,990,24,3.227273,36.9325,2
8926,org.pol.jmgo.qoesurveyor,59.634409,29.957065,0,d71847dfd6b46fcd,251.731707,1.741463,9,86.215854,10.865854,1,0,3.899647,3.793097,1,770.21942,27,3.227273,37.16177,3
